	model	age_pair	years	acc	diff	expected	unexpected	macrodiff
85	distilbert/distilgpt2	51-60 vs 71+	1	0.5311320754716982	0.016334196467083152	0.044882378355087744	0.028548181888004596	0.01633419646708315
86	distilbert/distilgpt2	51-60 vs 71+	10	0.5216981132075472	0.015840000620099312	0.07400094251607658	0.05816094189597728	0.015840000620099305
87	distilbert/distilgpt2	51-60 vs 71+	5	0.5283018867924528	0.017612985364158718	0.06202810346367672	0.044415118099518	0.01761298536415872
88	distilbert/distilgpt2	61-70 vs 15-17	0	0.35	0.004602693897466049	0.04148989978838313	0.03688720589091709	0.004602693897466044
89	distilbert/distilgpt2	61-70 vs 15-17	1	0.35471698113207545	0.004137991391584984	0.044243523789837674	0.040105532398252694	0.00413799139158498
90	distilbert/distilgpt2	61-70 vs 15-17	10	0.39905660377358493	0.005269976491038362	0.07363726080225819	0.06836728431121981	0.005269976491038372
91	distilbert/distilgpt2	61-70 vs 15-17	5	0.389622641509434	0.005539168039248985	0.06150538396975826	0.055966215930509274	0.005539168039248983
92	distilbert/distilgpt2	61-70 vs 18-21	0	0.29339622641509433	0.0020086565201785107	0.04148989978838313	0.039481243268204624	0.002008656520178509
93	distilbert/distilgpt2	61-70 vs 18-21	1	0.3650943396226415	0.00297580650101132	0.044243523789837674	0.041267717288826354	0.00297580650101132
94	distilbert/distilgpt2	61-70 vs 18-21	10	0.38018867924528305	0.0027722826978505326	0.07363726080225819	0.07086497810440764	0.002772282697850542
95	distilbert/distilgpt2	61-70 vs 18-21	5	0.38113207547169814	0.0030749036182905515	0.06150538396975826	0.05843048035146771	0.0030749036182905476
96	distilbert/distilgpt2	61-70 vs 31-40	0	0.39811320754716983	0.004235713828494526	0.04148989978838313	0.03725418595988861	0.004235713828494525
97	distilbert/distilgpt2	61-70 vs 31-40	1	0.41509433962264153	0.004184165683376634	0.044243523789837674	0.04005935810646104	0.004184165683376637
98	distilbert/distilgpt2	61-70 vs 31-40	10	0.41415094339622643	0.0038698714334714237	0.07363726080225819	0.06976738936878676	0.0038698714334714224
99	distilbert/distilgpt2	61-70 vs 31-40	5	0.3867924528301887	0.003667140970782272	0.06150538396975826	0.05783824299897598	0.0036671409707822733
100	distilbert/distilgpt2	61-70 vs 41-50	0	0.4358490566037736	0.004014086155616756	0.04148989978838313	0.037475813632766385	0.004014086155616749
101	distilbert/distilgpt2	61-70 vs 41-50	1	0.4367924528301887	0.003503223825312507	0.044243523789837674	0.04074029996452517	0.0035032238253125056
102	distilbert/distilgpt2	61-70 vs 41-50	10	0.4216981132075472	0.003066295325042773	0.07363726080225819	0.07057096547721542	0.003066295325042767
103	distilbert/distilgpt2	61-70 vs 41-50	5	0.42547169811320756	0.0033461366431583473	0.06150538396975826	0.05815924732659991	0.0033461366431583456
104	distilbert/distilgpt2	61-70 vs 51-60	0	0.30754716981132074	0.0008904927274007798	0.04148989978838313	0.040599407060982355	0.0008904927274007782
105	distilbert/distilgpt2	61-70 vs 51-60	1	0.21320754716981133	-0.0006388545652500731	0.044243523789837674	0.044882378355087744	-0.0006388545652500702
106	distilbert/distilgpt2	61-70 vs 51-60	10	0.2349056603773585	-0.00036368171381839646	0.07363726080225819	0.07400094251607658	-0.00036368171381839787
107	distilbert/distilgpt2	61-70 vs 51-60	5	0.22924528301886793	-0.0005227194939184642	0.06150538396975826	0.06202810346367672	-0.0005227194939184665
108	distilbert/distilgpt2	61-70 vs 71+	0	0.5188679245283019	0.016870627125422564	0.04148989978838313	0.024619272662960573	0.01687062712542256
109	distilbert/distilgpt2	61-70 vs 71+	1	0.5311320754716982	0.015695341901833075	0.044243523789837674	0.028548181888004596	0.01569534190183308
110	distilbert/distilgpt2	61-70 vs 71+	10	0.5216981132075472	0.015476318906280914	0.07363726080225819	0.05816094189597728	0.015476318906280907
111	distilbert/distilgpt2	61-70 vs 71+	5	0.5283018867924528	0.01709026587024025	0.06150538396975826	0.044415118099518	0.017090265870240255
