	model	years	severity	acc	diff	expected	unexpected	macrodiff
92	distilbert-base-uncased	15	D2	0.6	0.0017232591402716916	0.07877034211560381	0.07704708297533212	0.001723259140271688
93	distilbert-base-uncased	15	D3	0.625	0.0010120138409547507	0.08805930053222251	0.08704728669126775	0.0010120138409547563
94	distilbert-base-uncased	15	D4	0.6	0.0013813577126711592	0.07489951954019484	0.07351816182752369	0.001381357712671158
95	distilbert-base-uncased	15	M1	0.6	0.0010506633284967477	0.0869943032675655	0.08594363993906877	0.001050663328496737
96	distilbert-base-uncased	15	M2	0.6666666666666666	0.0002335807987644056	0.08706796268137013	0.08683438188260571	0.00023358079876441284
97	distilbert-base-uncased	15	M3	0.7777777777777778	0.0011455439380370198	0.11741012882234318	0.11626458488430617	0.001145543938037008
98	distilbert-base-uncased	15	M4	0.6666666666666666	-6.923239173677783e-05	0.12948221565069004	0.12955144804242683	-6.92323917367843e-05
99	distilbert-base-uncased	15	M5	0.6142857142857143	-0.0006736238535917696	0.1111268398848118	0.11180046373840358	-0.0006736238535917788
100	distilbert-base-uncased	15	M6	0.6857142857142857	-6.466813512296261e-05	0.11613377723437479	0.11619844536949775	-6.466813512295833e-05
101	distilbert-base-uncased	15	M7	0.6714285714285714	0.0019453996344444542	0.07944509413916546	0.07749969450472101	0.0019453996344444557
102	distilbert-base-uncased	15	M8	0.6697674418604651	0.0008246138163464598	0.08474834040247256	0.08392372658612611	0.0008246138163464506
103	distilbert-base-uncased	15	M9	0.8	0.0029163529809011417	0.08650734354043375	0.0835909905595326	0.002916352980901149
104	distilbert-base-uncased	2	D1	0.3333333333333333	-0.0018402005720417989	0.055768278439548596	0.0576084790115904	-0.001840200572041803
105	distilbert-base-uncased	2	D2	0.52	-0.0004835338902194089	0.04334351065364895	0.04382704454386835	-0.00048353389021939946
106	distilbert-base-uncased	2	D3	0.55	-0.000962545611400859	0.049316521716718804	0.05027906732811967	-0.0009625456114008626
107	distilbert-base-uncased	2	D4	0.56	-0.0006208684633020295	0.0418721388050471	0.04249300726834913	-0.0006208684633020253
108	distilbert-base-uncased	2	M1	0.6	0.00021926217246799707	0.049056953022954944	0.04883769085048694	0.000219262172468003
109	distilbert-base-uncased	2	M2	0.6666666666666666	-0.00016201825055758758	0.046115617140700685	0.04627763539125827	-0.00016201825055758845
110	distilbert-base-uncased	2	M3	0.7777777777777778	-0.0007240285230283128	0.06243530990711098	0.0631593384301393	-0.0007240285230283167
111	distilbert-base-uncased	2	M4	0.6666666666666666	-0.0015571144710217377	0.07935093257498611	0.08090804704600786	-0.0015571144710217477
112	distilbert-base-uncased	2	M5	0.5952380952380952	-0.0015651029289507389	0.07217983638937372	0.07374493931832446	-0.0015651029289507346
113	distilbert-base-uncased	2	M6	0.6714285714285714	-0.0008616179554207646	0.07057658361715892	0.07143820157257968	-0.0008616179554207654
114	distilbert-base-uncased	2	M7	0.6571428571428571	0.0003145333917927939	0.04465910355502269	0.044344570163229895	0.0003145333917927984
115	distilbert-base-uncased	2	M8	0.627906976744186	-0.0004668680912081331	0.04649248014164943	0.046959348232857565	-0.00046686809120813355
116	distilbert-base-uncased	2	M9	0.755	0.00045424398595059494	0.046477215891427434	0.046022971905476835	0.00045424398595059895
117	distilbert-base-uncased	7	D1	0.26666666666666666	-0.0021091661513006877	0.053029895464715045	0.055139061616015735	-0.00210916615130069
118	distilbert-base-uncased	7	D2	0.44	-0.0003360697865718903	0.04091933697956843	0.04125540676614031	-0.00033606978657188535
119	distilbert-base-uncased	7	D3	0.425	-0.0009741860099893506	0.04540214932294471	0.04637633533293406	-0.0009741860099893515
120	distilbert-base-uncased	7	D4	0.4	-0.0007337973313406064	0.038260171515576036	0.038993968846916645	-0.000733797331340609
