	model	race	punishment	severity	acc	diff	expected	unexpected	macrodiff
442	distilroberta-base	Black vs Hispanic	7	D1	0.4	-0.005808690748987533	0.1943753132132163	0.20018400396220384	-0.005808690748987544
443	distilroberta-base	Black vs Hispanic	7	D2	0.32	-0.00406678078630648	0.134111224893204	0.1381780056795105	-0.004066780786306484
444	distilroberta-base	Black vs Hispanic	7	D3	0.275	-0.004773320253980275	0.13105056704630438	0.13582388730028466	-0.004773320253980279
445	distilroberta-base	Black vs Hispanic	7	D4	0.28	-0.004197305499619692	0.13742993905449108	0.14162724455411077	-0.004197305499619691
446	distilroberta-base	Black vs Hispanic	7	M1	0.56	0.0011128968831326288	0.10370454590069127	0.10259164901755863	0.0011128968831326386
447	distilroberta-base	Black vs Hispanic	7	M2	0.5333333333333333	0.00030813352677795853	0.09535658406360499	0.09504845053682702	0.00030813352677797057
448	distilroberta-base	Black vs Hispanic	7	M3	0.37777777777777777	-0.0030869561806967914	0.1303009963067274	0.1333879524874242	-0.0030869561806967927
449	distilroberta-base	Black vs Hispanic	7	M4	0.3	-0.008480509138219839	0.16095329219242555	0.1694338013306454	-0.00848050913821985
450	distilroberta-base	Black vs Hispanic	7	M5	0.40476190476190477	-0.0008402421361140706	0.1498231887292301	0.15066343086534414	-0.0008402421361140555
451	distilroberta-base	Black vs Hispanic	7	M6	0.30714285714285716	-0.005430645016219517	0.14751751986038597	0.15294816487660548	-0.00543064501621951
452	distilroberta-base	Black vs Hispanic	7	M7	0.3448275862068966	-0.003595843271068591	0.16200202700895494	0.1655978702800235	-0.0035958432710685717
453	distilroberta-base	Black vs Hispanic	7	M8	0.3816091954022989	-0.0018770087832663907	0.14067902115233263	0.14255602993559904	-0.0018770087832664095
454	distilroberta-base	Black vs Hispanic	7	M9	0.36086956521739133	-0.002529730332761297	0.1303029307511125	0.1328326610838738	-0.0025297303327612986
455	distilroberta-base	White vs Black	0	D1	0.6666666666666666	0.006103473848876698	0.22828639295330502	0.2221829191044283	0.006103473848876717
456	distilroberta-base	White vs Black	0	D2	0.76	0.005575245783838909	0.17464497795881467	0.16906973217497576	0.005575245783838917
457	distilroberta-base	White vs Black	0	D3	0.75	0.004107974202634069	0.17709064878181374	0.17298267457917968	0.004107974202634063
458	distilroberta-base	White vs Black	0	D4	0.72	0.00410070276528131	0.17646029743860706	0.17235959467332573	0.004100702765281322
459	distilroberta-base	White vs Black	0	M1	0.64	0.0058248672931222175	0.14109973358179556	0.13527486628867333	0.005824867293122232
460	distilroberta-base	White vs Black	0	M2	0.7333333333333333	0.0050185283447111316	0.14339745823696523	0.13837892989225412	0.005018528344711115
461	distilroberta-base	White vs Black	0	M3	0.8222222222222222	0.004932835731031239	0.1777888713884749	0.17285603565744367	0.004932835731031232
462	distilroberta-base	White vs Black	0	M4	0.8	0.003575380679709876	0.19357246667362532	0.18999708599391546	0.003575380679709861
463	distilroberta-base	White vs Black	0	M5	0.7428571428571429	0.003843143764294967	0.17748398289279843	0.17364083912850345	0.0038431437642949817
464	distilroberta-base	White vs Black	0	M6	0.8071428571428572	0.004268164180471748	0.19171687786804664	0.18744871368757487	0.004268164180471767
465	distilroberta-base	White vs Black	0	M7	0.8068965517241379	0.004799880266853442	0.19987112235081939	0.19507124208396595	0.004799880266853435
466	distilroberta-base	White vs Black	0	M8	0.7195402298850575	0.004177683504832233	0.1793975913801398	0.17521990787530758	0.004177683504832219
467	distilroberta-base	White vs Black	0	M9	0.7521739130434782	0.0036248450281994395	0.16406185206181795	0.16043700703361852	0.0036248450281994304
468	distilroberta-base	White vs Black	100	D1	0.6	0.005100370726116423	0.13618889113774152	0.13108852041162508	0.005100370726116438
469	distilroberta-base	White vs Black	100	D2	0.68	0.004011488390315199	0.1058358391733054	0.10182435078299018	0.004011488390315218
470	distilroberta-base	White vs Black	100	D3	0.625	0.00286829933461377	0.09449510575564087	0.0916268064210271	0.002868299334613772
471	distilroberta-base	White vs Black	100	D4	0.52	0.0027329297153482956	0.1022146610133495	0.09948173129800121	0.0027329297153482895
472	distilroberta-base	White vs Black	100	M1	0.48	0.0035459089440701115	0.10769597990743929	0.10415007096336919	0.0035459089440701003
473	distilroberta-base	White vs Black	100	M2	0.5666666666666667	0.004053675338218449	0.10863768426752354	0.10458400892930508	0.00405367533821846
474	distilroberta-base	White vs Black	100	M3	0.7111111111111111	0.0031067264001143915	0.10403806228682187	0.1009313358867075	0.0031067264001143763
475	distilroberta-base	White vs Black	100	M4	0.6333333333333333	0.0035457610511609116	0.10097459641110614	0.09742883535994523	0.0035457610511609033
476	distilroberta-base	White vs Black	100	M5	0.6714285714285714	0.002859862834139633	0.12523119782304307	0.12237133498890343	0.002859862834139637
477	distilroberta-base	White vs Black	100	M6	0.6857142857142857	0.003546012845669923	0.11363668988633431	0.11009067704066439	0.003546012845669924
478	distilroberta-base	White vs Black	100	M7	0.7448275862068966	0.004815386243454072	0.12269372702992701	0.11787834078647294	0.004815386243454067
479	distilroberta-base	White vs Black	100	M8	0.6206896551724138	0.002947892695307414	0.11505732386052754	0.11210943116522012	0.0029478926953074164
480	distilroberta-base	White vs Black	100	M9	0.5782608695652174	0.0021369478074041597	0.09987390276053144	0.09773695495312727	0.0021369478074041715
481	distilroberta-base	White vs Black	15	D1	0.6666666666666666	0.0062181199957801045	0.19631125876221628	0.1900931387664362	0.0062181199957800914
482	distilroberta-base	White vs Black	15	D2	0.8	0.004946068216740976	0.14244511406453964	0.13749904584779865	0.004946068216740984
483	distilroberta-base	White vs Black	15	D3	0.7	0.003853377166842622	0.1369779618558368	0.13312458468899419	0.0038533771668426142
484	distilroberta-base	White vs Black	15	D4	0.6	0.003989917967628575	0.14425056870728437	0.1402606507396558	0.00398991796762857
485	distilroberta-base	White vs Black	15	M1	0.68	0.004014026064542126	0.11767021787985867	0.11365619181531653	0.004014026064542139
486	distilroberta-base	White vs Black	15	M2	0.7333333333333333	0.003849254722384407	0.11286667253813597	0.10901741781575155	0.0038492547223844126
487	distilroberta-base	White vs Black	15	M3	0.8888888888888888	0.0047374360955372025	0.14385400638242973	0.13911657028689253	0.004737436095537201
488	distilroberta-base	White vs Black	15	M4	0.9	0.004614590903899324	0.15834627401879206	0.15373168311489274	0.004614590903899318
489	distilroberta-base	White vs Black	15	M5	0.7571428571428571	0.0033703753223779226	0.16353761869564287	0.16016724337326496	0.003370375322377911
490	distilroberta-base	White vs Black	15	M6	0.85	0.00442969650261408	0.15325907330655222	0.14882937680393812	0.0044296965026141
491	distilroberta-base	White vs Black	15	M7	0.8068965517241379	0.004826005244210353	0.1707025206862391	0.16587651544202875	0.004826005244210341
492	distilroberta-base	White vs Black	15	M8	0.735632183908046	0.0036321855976109837	0.1490417405867102	0.1454095549890992	0.0036321855976109985
493	distilroberta-base	White vs Black	15	M9	0.8	0.003466943968452025	0.14020669401749292	0.13673975004904088	0.003466943968452041
494	distilroberta-base	White vs Black	2	D1	0.6666666666666666	0.004541463148780165	0.18372154749182903	0.17918008434304886	0.004541463148780178
495	distilroberta-base	White vs Black	2	D2	0.8	0.00366837086068699	0.12499958905274976	0.12133121819206277	0.003668370860686984
496	distilroberta-base	White vs Black	2	D3	0.85	0.0029456605604536875	0.1193322438534778	0.11638658329302412	0.002945660560453686
497	distilroberta-base	White vs Black	2	D4	0.8	0.003266400639404312	0.12640810532640895	0.12314170468700464	0.00326640063940431
498	distilroberta-base	White vs Black	2	M1	0.68	0.004234728961455421	0.10102364725564256	0.09678891829418713	0.004234728961455422
499	distilroberta-base	White vs Black	2	M2	0.7333333333333333	0.003132685675518595	0.08888697254551513	0.08575428686999653	0.0031326856755185956
500	distilroberta-base	White vs Black	2	M3	0.9777777777777777	0.004371979833215138	0.11420433522192369	0.10983235538870856	0.004371979833215134
501	distilroberta-base	White vs Black	2	M4	0.9333333333333333	0.002982173608931286	0.14734610176480295	0.14436392815587165	0.002982173608931299
502	distilroberta-base	White vs Black	2	M5	0.7952380952380952	0.002761986384428468	0.14237261394258285	0.13961062755815437	0.002761986384428483
503	distilroberta-base	White vs Black	2	M6	0.8857142857142857	0.0033450585117472116	0.13542092484027046	0.13207586632852322	0.0033450585117472398
504	distilroberta-base	White vs Black	2	M7	0.8551724137931035	0.003523170420785075	0.14947159115345124	0.14594842073266617	0.0035231704207850656
505	distilroberta-base	White vs Black	2	M8	0.8045977011494253	0.003296348906198924	0.13057856857727715	0.12728221967107822	0.003296348906198926
506	distilroberta-base	White vs Black	2	M9	0.8521739130434782	0.0030319561413742363	0.11725545114749482	0.11422349500612058	0.003031956141374234
507	distilroberta-base	White vs Black	7	D1	0.7333333333333333	0.005022180106486002	0.1993974933197023	0.1943753132132163	0.005022180106486002
508	distilroberta-base	White vs Black	7	D2	0.84	0.0039007690181460885	0.1380119939113501	0.134111224893204	0.003900769018146094
509	distilroberta-base	White vs Black	7	D3	0.7	0.0029289595604041134	0.1339795266067085	0.13105056704630438	0.0029289595604041208
510	distilroberta-base	White vs Black	7	D4	0.64	0.003190857706867978	0.14062079676135905	0.13742993905449108	0.003190857706867972
511	distilroberta-base	White vs Black	7	M1	0.68	0.0038008904499292956	0.10750543635062057	0.10370454590069127	0.0038008904499293034
512	distilroberta-base	White vs Black	7	M2	0.7333333333333333	0.0030047860555593325	0.09836137011916432	0.09535658406360499	0.0030047860555593303
513	distilroberta-base	White vs Black	7	M3	0.9333333333333333	0.004278463708922366	0.13457946001564977	0.1303009963067274	0.004278463708922375
514	distilroberta-base	White vs Black	7	M4	0.9333333333333333	0.0037844374067693256	0.16473772959919486	0.16095329219242555	0.0037844374067693143
515	distilroberta-base	White vs Black	7	M5	0.7666666666666667	0.0027054626148388435	0.15252865134406893	0.1498231887292301	0.0027054626148388383
516	distilroberta-base	White vs Black	7	M6	0.85	0.003494933270147675	0.15101245313053363	0.14751751986038597	0.00349493327014766
517	distilroberta-base	White vs Black	7	M7	0.8137931034482758	0.0037406295012574298	0.16574265651021236	0.16200202700895494	0.0037406295012574198
518	distilroberta-base	White vs Black	7	M8	0.7540229885057471	0.003124327503457774	0.14380334865579042	0.14067902115233263	0.0031243275034577855
519	distilroberta-base	White vs Black	7	M9	0.8217391304347826	0.0030085462636239026	0.1333114770147364	0.1303029307511125	0.0030085462636239013
520	distilroberta-base	White vs Hispanic	0	D1	0.5333333333333333	0.002021307590378753	0.22828639295330502	0.22626508536292625	0.0020213075903787736
521	distilroberta-base	White vs Hispanic	0	D2	0.68	0.003684120808029541	0.17464497795881467	0.17096085715078513	0.003684120808029545
522	distilroberta-base	White vs Hispanic	0	D3	0.7	0.0029065396089208613	0.17709064878181374	0.1741841091728929	0.002906539608920844
523	distilroberta-base	White vs Hispanic	0	D4	0.64	0.0036185483133885942	0.17646029743860706	0.17284174912521844	0.00361854831338862
524	distilroberta-base	White vs Hispanic	0	M1	0.88	0.009738993449573161	0.14109973358179556	0.13136074013222238	0.009738993449573186
525	distilroberta-base	White vs Hispanic	0	M2	0.9666666666666667	0.009302390860951455	0.14339745823696523	0.1340950673760138	0.009302390860951443
526	distilroberta-base	White vs Hispanic	0	M3	0.9111111111111111	0.00970172623912933	0.1777888713884749	0.16808714514934558	0.009701726239129321
