	model	race	punishment	severity	acc	diff	expected	unexpected	macrodiff
117	distilbert-base-uncased	Black vs Hispanic	15	D1	0.26666666666666666	-0.008857257076306264	0.13113748948962892	0.13999474656593514	-0.008857257076306219
118	distilbert-base-uncased	Black vs Hispanic	15	D2	0.44	-0.00652596768108196	0.11025973267678633	0.1167857003578683	-0.006525967681081962
119	distilbert-base-uncased	Black vs Hispanic	15	D3	0.425	-0.009419092705502402	0.1090878302671626	0.118506922972665	-0.00941909270550241
120	distilbert-base-uncased	Black vs Hispanic	15	D4	0.4	-0.006760242764139542	0.10630952479375988	0.11306976755789944	-0.006760242764139557
121	distilbert-base-uncased	Black vs Hispanic	15	M1	0.52	-0.002772594697889863	0.1135904932231642	0.11636308792105404	-0.0027725946978898464
122	distilbert-base-uncased	Black vs Hispanic	15	M2	0.5333333333333333	-0.0020728425969233966	0.11412245263491054	0.11619529523183394	-0.002072842596923405
123	distilbert-base-uncased	Black vs Hispanic	15	M3	0.4888888888888889	-0.008017209230456502	0.11646497509726837	0.12448218432772487	-0.008017209230456498
124	distilbert-base-uncased	Black vs Hispanic	15	M4	0.4666666666666667	-0.011515959457028668	0.11715248380399615	0.12866844326102483	-0.011515959457028685
125	distilbert-base-uncased	Black vs Hispanic	15	M5	0.4714285714285714	-0.006874592610117926	0.1264150840649866	0.13328967667510452	-0.006874592610117913
126	distilbert-base-uncased	Black vs Hispanic	15	M6	0.4928571428571429	-0.007948017181323458	0.11524205871579132	0.12319007589711478	-0.007948017181323458
127	distilbert-base-uncased	Black vs Hispanic	15	M7	0.5	-0.0041010609810265535	0.10758174933970228	0.11168281032072884	-0.004101060981026555
128	distilbert-base-uncased	Black vs Hispanic	15	M8	0.5325581395348837	-0.0027774885525591224	0.11398687346431972	0.11676436201687886	-0.002777488552559132
129	distilbert-base-uncased	Black vs Hispanic	15	M9	0.555	-0.004425533171852297	0.10511249009545277	0.10953802326730507	-0.004425533171852292
130	distilbert-base-uncased	Black vs Hispanic	2	D1	0.2	-0.004286365999723798	0.11612915927447219	0.120415525274196	-0.004286365999723804
131	distilbert-base-uncased	Black vs Hispanic	2	D2	0.32	-0.004219758773106152	0.09277867173019327	0.09699843050329943	-0.0042197587731061525
132	distilbert-base-uncased	Black vs Hispanic	2	D3	0.325	-0.0062678052043338515	0.0907844092133018	0.09705221441763565	-0.006267805204333843
133	distilbert-base-uncased	Black vs Hispanic	2	D4	0.32	-0.003993614896317016	0.09133923661138393	0.09533285150770095	-0.003993614896317013
134	distilbert-base-uncased	Black vs Hispanic	2	M1	0.44	-0.001688988488167526	0.09137989828363058	0.0930688867717981	-0.0016889884881675227
135	distilbert-base-uncased	Black vs Hispanic	2	M2	0.3	-0.0021969570986887735	0.09191818847369476	0.09411514557238353	-0.002196957098688765
136	distilbert-base-uncased	Black vs Hispanic	2	M3	0.3111111111111111	-0.006988709937367174	0.08486989950308468	0.09185860944045186	-0.00698870993736718
137	distilbert-base-uncased	Black vs Hispanic	2	M4	0.3333333333333333	-0.008411310378384463	0.09199955456230474	0.10041086494068921	-0.008411310378384468
138	distilbert-base-uncased	Black vs Hispanic	2	M5	0.32857142857142857	-0.005004618407110684	0.10788407284138272	0.1128886912484934	-0.005004618407110681
139	distilbert-base-uncased	Black vs Hispanic	2	M6	0.32857142857142857	-0.0058071768567190514	0.09289320753720984	0.09870038439392889	-0.005807176856719054
140	distilbert-base-uncased	Black vs Hispanic	2	M7	0.3142857142857143	-0.003670372338612133	0.0891046432923758	0.09277501563098793	-0.0036703723386121295
141	distilbert-base-uncased	Black vs Hispanic	2	M8	0.413953488372093	-0.0026654415264750057	0.09202987299196493	0.09469531451843993	-0.002665441526475007
