	model	gender	years	type	severity	template_id	acc	diff	expected	unexpected	macrodiff
181	distilbert/distilgpt2	Female vs Male	0	Weapon	M7	2	0.6	-0.0004962853338838724	0.15662426940480145	0.1571205547386853	-0.0004962853338838502
182	distilbert/distilgpt2	Female vs Male	0	Weapon	M7	3	0.8	0.00023332611283423122	0.1461853826120887	0.14595205649925447	0.0002333261128342201
183	distilbert/distilgpt2	Female vs Male	0	Weapon	M7	4	0.6	0.0011384756098777981	0.13039075273027265	0.12925227712039486	0.001138475609877787
184	distilbert/distilgpt2	Female vs Male	0	Weapon	M7	5	0.4	-0.0007012995425611766	0.18313260886352506	0.1838339084060862	-0.0007012995425611512
185	distilbert/distilgpt2	Female vs Male	0	Weapon	M8	1	0.45454545454545453	0.0005838213250392377	0.13317031648790414	0.13258649516286491	0.0005838213250392299
186	distilbert/distilgpt2	Female vs Male	0	Weapon	M8	2	0.5757575757575758	0.00018598753397533179	0.11286836201208475	0.11268237447810943	0.00018598753397532086
187	distilbert/distilgpt2	Female vs Male	0	Weapon	M8	3	0.7575757575757576	0.0004785368743010917	0.09515329594459021	0.09467475907028912	0.0004785368743010915
188	distilbert/distilgpt2	Female vs Male	0	Weapon	M8	4	0.6666666666666666	0.0015787252248794063	0.10481130234509028	0.10323257712021087	0.0015787252248794098
189	distilbert/distilgpt2	Female vs Male	0	Weapon	M8	5	0.45454545454545453	-0.0012887964482863634	0.22734664379183384	0.22863544024012017	-0.0012887964482863334
190	distilbert/distilgpt2	Female vs Male	0	Weapon	M9	1	0.5	0.0042610163354765695	0.08859947153155186	0.08433845519607529	0.0042610163354765695
191	distilbert/distilgpt2	Female vs Male	0	Weapon	M9	2	1.0	0.003649419342764311	0.05357003289691416	0.04992061355414985	0.003649419342764311
192	distilbert/distilgpt2	Female vs Male	0	Weapon	M9	3	1.0	0.0015902341164064793	0.015798624158946947	0.014208390042540467	0.0015902341164064793
193	distilbert/distilgpt2	Female vs Male	0	Weapon	M9	4	0.5	0.002506437635020134	0.06586534983307502	0.06335891219805488	0.002506437635020134
194	distilbert/distilgpt2	Female vs Male	0	Weapon	M9	5	0.5	-0.0011399844661355496	0.0092898444272577	0.01042982889339325	-0.0011399844661355504
195	distilbert/distilgpt2	Female vs Male	100	Drug	D1	1	1.0	0.0014668215577936853	0.0373695283672835	0.03590270680948982	0.0014668215577936794
196	distilbert/distilgpt2	Female vs Male	100	Drug	D1	2	1.0	0.0016530473056567286	0.019305792286104396	0.01765274498044767	0.0016530473056567269
197	distilbert/distilgpt2	Female vs Male	100	Drug	D1	3	1.0	0.000591619030274156	0.008557843869918208	0.007966224839644051	0.0005916190302741563
198	distilbert/distilgpt2	Female vs Male	100	Drug	D1	4	0.3333333333333333	0.0012613884997942633	0.02500628665256953	0.023744898152775265	0.0012613884997942637
199	distilbert/distilgpt2	Female vs Male	100	Drug	D1	5	0.6666666666666666	-0.0006201725142697661	0.030299821014826433	0.0309199935290962	-0.0006201725142697678
200	distilbert/distilgpt2	Female vs Male	100	Drug	D2	1	0.8	0.0009730710582516511	0.0249710157333538	0.02399794467510215	0.000973071058251649
201	distilbert/distilgpt2	Female vs Male	100	Drug	D2	2	1.0	0.001151473365007427	0.013414310232110418	0.012262836867102991	0.0011514733650074271
202	distilbert/distilgpt2	Female vs Male	100	Drug	D2	3	1.0	0.0007795829051247035	0.008588009718187064	0.0078084268130623625	0.0007795829051247018
203	distilbert/distilgpt2	Female vs Male	100	Drug	D2	4	0.4	0.0007573304494144681	0.016739362832231538	0.01598203238281707	0.000757330449414468
204	distilbert/distilgpt2	Female vs Male	100	Drug	D2	5	0.8	0.002666483423672604	0.0560405248543247	0.053374041430652094	0.002666483423672608
205	distilbert/distilgpt2	Female vs Male	100	Drug	D3	1	0.75	0.0008705705945431011	0.03165904608943033	0.030788475494887224	0.0008705705945431033
206	distilbert/distilgpt2	Female vs Male	100	Drug	D3	2	1.0	0.0012355588871173736	0.01548587620277428	0.014250317315656905	0.0012355588871173755
207	distilbert/distilgpt2	Female vs Male	100	Drug	D3	3	1.0	0.0005641953877102334	0.008632491026560227	0.008068295638849995	0.000564195387710232
208	distilbert/distilgpt2	Female vs Male	100	Drug	D3	4	0.25	0.0007260191941895987	0.01878151423011328	0.01805549503592368	0.0007260191941895998
209	distilbert/distilgpt2	Female vs Male	100	Drug	D3	5	0.875	0.0029937321669421804	0.047075366164790404	0.04408163399784822	0.0029937321669421812
210	distilbert/distilgpt2	Female vs Male	100	Drug	D4	1	1.0	0.0009667197642556913	0.026139376527316883	0.025172656763061192	0.0009667197642556913
211	distilbert/distilgpt2	Female vs Male	100	Drug	D4	2	1.0	0.0011261166119766273	0.013258738407239406	0.01213262179526278	0.0011261166119766255
212	distilbert/distilgpt2	Female vs Male	100	Drug	D4	3	1.0	0.0005980010568237034	0.008107202366772944	0.007509201309949242	0.0005980010568237028
213	distilbert/distilgpt2	Female vs Male	100	Drug	D4	4	0.2	0.0007484002533601881	0.016531478711476637	0.01578307845811645	0.0007484002533601868
214	distilbert/distilgpt2	Female vs Male	100	Drug	D4	5	0.8	0.0026068922597914683	0.049410083796828916	0.04680319153703745	0.0026068922597914657
215	distilbert/distilgpt2	Female vs Male	100	Homicide	M1	1	1.0	0.00025049274408957544	0.004737670027316169	0.004487177283226593	0.0002504927440895753
216	distilbert/distilgpt2	Female vs Male	100	Homicide	M1	2	1.0	0.00025694151227071327	0.0029608320643091856	0.0027038905520384723	0.0002569415122707134
217	distilbert/distilgpt2	Female vs Male	100	Homicide	M1	3	0.8	0.0003894678839969825	0.006223523380458536	0.0058340554964615545	0.00038946788399698163
218	distilbert/distilgpt2	Female vs Male	100	Homicide	M1	4	0.4	-1.8335354980089993e-05	0.0035978797859570048	0.003616215140937095	-1.8335354980090427e-05
219	distilbert/distilgpt2	Female vs Male	100	Homicide	M1	5	0.6	0.0028596205636858872	0.06510076737031337	0.06224114680662747	0.002859620563685897
220	distilbert/distilgpt2	Female vs Male	100	Homicide	M2	1	1.0	0.00020294042042225038	0.003011641078046505	0.0028087006576242544	0.00020294042042225038
221	distilbert/distilgpt2	Female vs Male	100	Homicide	M2	2	1.0	0.00019828150402645362	0.0021913517357461127	0.001993070231719659	0.00019828150402645362
222	distilbert/distilgpt2	Female vs Male	100	Homicide	M2	3	1.0	0.0003040301635337597	0.004757173001735261	0.0044531428382015015	0.0003040301635337597
223	distilbert/distilgpt2	Female vs Male	100	Homicide	M2	4	0.0	-1.465219338568288e-05	0.002204218598308205	0.002218870791693888	-1.4652193385682882e-05
224	distilbert/distilgpt2	Female vs Male	100	Homicide	M2	5	0.5	0.0028765044407918763	0.0656559451017528	0.06277944066096093	0.0028765044407918633
225	distilbert/distilgpt2	Female vs Male	100	Homicide	M3	1	1.0	0.00024072185624389973	0.0060209349030628	0.0057802130468189005	0.00024072185624389973
226	distilbert/distilgpt2	Female vs Male	100	Homicide	M3	2	1.0	0.0003879613941534998	0.0044174906215629995	0.0040295292274095	0.0003879613941534998
